£	pound
biol	biology
biz	business
bk	book
bks	books
blvd	boulevard
bool	boolean
bord	border
bp	bishop
braz	brazilian
BRB	be right back
brb	be right back
brit	british
bro	brother
bros	brothers
btw	by the way
buf	buffer
bur	bureau
cal	calendar
calc	calculus
calend	calendar
calif	california
calligr	calligraphy
camb	cambridge
cambr	cambridge
campanol	campanology
canad	canadian
canterb	canterbury
capt	captain
cartogr	cartography
catal	catalogue
catech	catechism
cath	catholic
ceo	Chief Executive Officer
ceram	ceramics
cert	certificate
certif	certificate
cfo	Chief Financial Officer
chamb	chamber
char	character
charac	character
chas	charles
chem	chemistry
chesh	cheshire
chr	chronicles
chron	chronology
chronol	chronology
chrons	chronicles
ciggy	cigarette
cinematogr	cinematography
circ	circle
classif	classification
climatol	climatology
clin	clinical
cm	centimetre
cmd	command
cmp	comparison
col	column
coll	college
colloq	colloquies
coloss	colossians
combs	combinations
comm	common
commandm	commandment
commerc	commercial
commiss	commission
commonw	commonwealth
communic	communication
comp	computer
compan	companion
compar	comparative
compend	compendium
compl	complete
compos	composition
conc	concise
conch	conchology
concl	conclusion
concr	concretely
conf	confession
confid	confidential
config	configure
confl	conflict
confut	confutation
congr	congress
congreg	congregation
conj	conjunction
conn	connector
cons	detriments
consc	conscience
consecr	consecration
consid	considerations
consol	consolation
const	construction
constit	constitutional
constr	construction
contempl	contemplation
contin	continuation
contr	contrasted
contradict	contradiction
contrib	contribution
controv	controversy
conversat	conversation
convoc	convocation
cornw	cornwall
coron	coronation
corr	correspondence
corresp	corresponding
counc	council
courtsh	courtship
cpd	compound
craniol	craniology
craniom	craniometry
crim	criminal
crit	criticism
crt	court
crts	courts
crypt	cryptology
cryptogr	cryptography
crystallogr	crystallography
ct	court
ctl	control
ctx	context
cumb	cumberland
cumberld	cumberland
cumbld	cumberland
cvt	convert
cycl	cyclopaedia
cytol	ytological
d.i.y.	do it yourself
dan	daniel
dat	dative
dau	daughter
dble	double
deb	debate
dec	december
declar	declaration
ded	dedication
def	definitely
deliv	deliverance
dem	demonstrative
demonstr	demonstration
dep	deputy
depred	depredation
depredat	depredation
dept	department
derbysh	derbyshire
deriv	derivative
derog	derogatory
descr	descriptive
dest	destination
deut	deuteronomy
dev	develop
devel	development
devonsh	devonshire
dict	dictionary
diff	difference
diffic	difficulty
dir	directory
discipl	discipline
discov	discovery
discrim	discrimination
dist	distance
distemp	distemper
distill	distilling
distrib	distribution
div	division
divers	diversity
diy	do it yourself
dk	don't know
doc	doctor
doctr	doctrine
domest	domestic
doz	dozen
dr	doctor
dst	destination
durh	durham
dyslog	dyslogistic
e.t.a.	estimated time of arrival
eccl	ecclesiastical
eccles	ecclesiastes
ecclus	ecclesiasticus
ecol	ecology
econ	economics
edin	edinburgh
educ	educational
edw	edward
egyptol	egyptology
electr	electricity
electro-magn	electro-magnetism
electro-physiol	electro-physiology
elem	elements
eliz	elizabeth
elizab	elizabethan
ellipt	elliptically
emb	embassy
embryol	embryology
emph	emphatically
encycl	encyclopaedic
eng	english
engin	engineering
englishw	englishwomen
enq	enquiry
ent	entomology
enthus	enthusiasm
entom	entomology
entomol	entomology
enum	enumeration
env	environment
enzymol	entomology
eph	ephesians
ephes	ephesians
epil	epilogue
episc	episcopacy
epist	epistle
epit	epitaph
err	error
erron	erroneously
esc	escape
esd	esdras
esp	especially
ess	essays
essent	essential
establ	establishment
esth	esther
eta	estimated time of arrival
eta	estimated time of arrival
etc	etcetera.
etc.	etcetera.
ethnol	ethnology
etym	etymology
etymol	etymology
euphem	euphemistically
eval	evaluation
evang	evangelical
evid	evidence
evol	evolutionary
exalt	exaltation
exam	examination
exch	exchequer
excp	exception
exerc	exercises
exhib	exhibits
exod	exodus
exped	expedition
exper	experimental
explan	explanation
explic	explication
explor	exploration
expos	expository
ext	extension
ez	easy
ezek	ezekiel
fab	fabulous
fam	family
famil	familiarly
faq	frequently asked questions
farew	farewell
feb	february
fem	feminine
fifesh	fifeshire
FL	Florida
fld	field
fmt	format
footpr	footprint
forfarsh	forfarshire
fortif	fortification
fortn	fortnightly
fr	from
frac	fraction
fragm	fragments
frat	fraternity
freq	frequently
fri	friday
friendsh	friendship
func	function
furnit	furniture
fut	future
fwd	forward
fyi	for your information
g	gram
gal	gallon
gard	gardening
gastron	gastronomy
gaz	gazette
gd	good
gen	genitive
geog	geography
geogr	geography
geol	geology
geom	geometry
geomorphol	geomorphology
ger	german
gerund	gerundial
glac	glaciers
glasg	glasgow
gm	gram
gosp	gospels
gov	government
govt	government
gr	grammar
gram	grammar
gt	great
guar	guarantee
gynaecol	gynaecology
handbk	handbook
har	harmonic
hdl	handle
hdr	header
hebr	hebrews
hex	hexadecimal
hierogl	hieroglyphic
hist	history
histol	histology
hols	holidays
hom	homilies
hon	honourable
horiz	horizontal
horol	horology
hort	horticulture
hosp	hospital
househ	household
housek	housekeeping
hrs	hours
hubby	husband
hw	how
hydraul	hydraulic
hydrol	hydrology
ichth	ichthyology
icthyol	icthyology
ideol	ideology
idk	I do not know
illustr	illustration
imag	imagination
imit	imitative
immunol	immunology
imp	imperative
imperf	imperfect
impers	impersonal
impf	imperfect
impr	improved
improp	improper
inaug	inaugural
inclos	inclosure
indef	indefinite
indic	indicative
indir	indirect
industr	industrial
infin	infinitive
infl	influenced
info	information
init	initialize
innoc	innocent
inorg	inorganic
inq	inquiry
inst	institution
instr	instrumental
intel	intelligendce
interc	intercourse
interj	interjection
interl	interlude
internat	international
interpr	interpretation
interrog	interrogative
intr	intransitive
intrans	intransitive
intro	introduction
introd	introductory
invertebr	invertebrated
investig	investigation
investm	investment
invoc	invocation
irel	ireland
irreg	irregularly
ital	italian
iter	iterator
jan	january
jnr	junior
josh	joshua
jr	junior
jrnl	journal
jrnls	journals
judg	judges
jul	july
jurisd	jurisdiction
jurisdict	jurisdiction
jurispr	jurisprudence
justif	justification
justific	justification
kgs	kings
kilo	kilograms
kingd	kingdom
km	kilometre
kpr	keeper
l	litre
lang	language
langs	languages
lat	latin
lb	pound
lds	lords
lect	lectures
leechd	leechdom
leicest	leicestershire
leicester	leicestershire
leicestersh	leicestershire
leics	leicestershire
len	length
lett	letter
lev	leviticus
lex	lexicon
lib	library
libr	library
limnol	limnology
lithogr	lithography
lithol	lithology
liturg	liturgy
ln	lane
loc	location
lol	laugh out loud
lond	london
macc	maccabees
mach	machines
magn	magnetism
manch	manchester
manip	manipulation
mant	mantissa
manuf	manufacturing
mar	march
masc	masculine
math	mathematics
max	maximum
meas	measure
measurem	measurement
mech	mechanical
medit	meditation
meds	medicine
mem	memory
merc	mercenary
merch	merchandise
metallif	metalliferous
metallogr	metallography
metamorph	metamorphosis
metaph	metaphysics
meteorol	meteorology
meth	methamphetamine
metrop	metropolitan
mex	mexican
mg	milligram
mic	microphone
microbiol	microbiology
microsc	microscopical
midl	midland
mil	million
milit	military
min	minute
misc	miscellaneous
miscell	miscellany
mispr	misprinted
mm	millimetre
mod	module
mon	monday
monum	monument
morphol	morphology
msg	message
mss	manuscripts
mt	mountain
mtg	meeting
mts	mountains
mul	multiply
multi	multiple
munic	municipal
munif	munificence
munim	muniment
mus	musical
mut	mutation
myst	mystery
mythol	mythology
narr	narrative
narrat	narrative
nasa	National Aeronautics and Space Administration
naut	nautical
nav	navigation
navig	navigation
neighb	neighbourhood
nerv	nervous
neurol	neurology
neurosurg	neurosurgery
newc	newcastle
newspr	newsprint
nonce-wd	nonce-word
nonconf	nonconformist
non-conf	nonconformist
norw	norwegian
norweg	norwegian
notts	nottinghamshire
nov	november
np	no problem
nucl	nuclear
num	number
numism	numismatics
obed	obedience
obj	objective
obl	oblique
obs	obsolete
observ	observation
obstet	obstetric
obstetr	obstetric
occas	occasionally
occup	occupational
occurr	occurrence
oceanogr	oceanography
oct	october
offic	official
ok	okay
okla	oklahoma
omg	oh my god
omg!	oh my god
ont	ontario
op	over powered
ophthalm	ophthalmology
ophthalmol	ophthalmology
orac	oracle
ord	ordinance
org	organic
orig	origination
orkn	orkney
ornith	ornithology
ornithol	ornithology
orthogr	orthography
outl	outline
ovfl	overflow
oxf	oxford
p	pence
p.s.	post script
palaeobot	palaeobotany
palaeogr	palaeography
palaeont	palaeontology
palaeontol	palaeontology
paraphr	paraphrased
parasitol	parasitology
parl	parliamentary
parnass	parnassus
pathol	pathology
peculat	peculation
penins	peninsula
perf	performance
perh	perhaps
perim	perimeter
periodontol	periodontology
perp	perpendicular
pers	personal
persec	persecution
personif	personified
perthsh	perthshire
petrogr	petrography
pf	perfect
pharm	pharmacology
pharmaceut	pharmaceutical
pharmacol	pharmacology
philad	philadelphia
philem	philemon
philipp	philippians
philol	philology
philos	philosophy
phoen	phoenician
phonet	phonetically
phonol	phonology
photog	photography
photogr	photography
phr	phrase
phrenol	phrenology
phys	physiology
physiogr	physiography
physiol	physiology
pict	pictures
pkg	package
pls	please
plur	plural
pol	politics
polit	politics
polytechn	polytechnical
pos	positive
poss	possibly
posth	posthumously
postm	postmaster
pott	pottery
pp	pages
ppl	people
pract	practice
prec	preceding
pred	predicate
predic	predicatively
pref	preference
preh	prehistoric
prehist	prehistory
prep	preparation
prerog	prerogative
pres	present
presb	presbytery
preserv	preservation
prev	previous
prim	primer
princ	principle
priv	privative
prob	probably
probab	probability
probl	problem
proc	process
prod	product
Prof	professor
prof	professor
prog	progress
proj	project
prol	prologue
pron	pronunciation
pronunc	pronunciation
propr	proprietary
pros	benefits
prot	protocol
proto	prototype
prov	proverbs
provid	providence
provinc	provincial
provis	provisional
ps	post script
ps	psalms
pseudo-arch	pseudo-archaic
pseudo-dial	pseudo-dialect
pseudo-sc	pseudo-scots
psych	psychology
psychoanal	psychoanalysis
psychoanalyt	psychoanalytic
psychol	psychology
psychopathol	psychopathology
pt	point
publ	publication
punc	punctuation
purg	purgatory
qry	query
quad	quadratic
ques	question
r	are
r.s.v.p.	Répondez s'il vous plait
radiol	radiology
rd	road
reb	rebel
rebell	rebellion
rec	record
reclam	reclamation
recoll	recollection
rect	rectangle
recv	receive
redempt	redemption
redupl	reduplicating
ref	referee
refash	refashioning
refl	reflexive
refus	refusal
refut	refutation
reg	regular
regic	regicide
regist	register
regr	register
rel	relate
relig	religious
reminisc	reminiscence
remonstr	remonstrance
renfrewsh	renfrewshire
repo	repository
repr	representing
reprod	reproductive
repub	republic
resid	residential
resp	responsive
retrosp	retrospective
rev	revised
revol	revolution
rhet	rhetorically
rofl	roll on floor laughing
RSVP	Répondez s'il vous plait
rudim	rudiment
sask	saskatchewan
sax	saxaphone
sch	school
sched	schedule
sci	scientific
scot	scottish
scotl	scotland
sec	second
seg	segment
seismol	seismology
sel	selected
sem	semaphore
sept	september
seq	sequence
serm	sermon
sess	session
settlem	settlement
sev	several
sheph	shepherd
shetl	shetland
shropsh	shropshire
sim	simulation
soc	society
sociol	sociology
sonn	sonnet
specif	specification
specim	specimen
spectrosc	spectroscopy
sq	square
src	source
srv	server
st	street
stat	statistical
statist	statistical
std	standard
stm	statement
str	strong
stratigr	stratigraphy
struct	structure
stud	studies
subj	subjunctive
subjunct	subjunctive
subord	subordinate
subscr	subscription
subscript	subscription
subseq	subsequently
subst	substantively
suppl	supplementary
supplic	supplication
suppress	suppression
surg	surgical
surv	surveying
sus	susanna
syll	syllable
symm	symmetry
symmetr	symmetrical
symp	symposium
sync	synchronized
sys	system
syst	system
taxon	taxonomy
tba	to be announced
tbc	to be confirmed
tbl	table
tbs	tablespoon
tbsp	tablespoon
tech	technology
techn	technical
technol	technology
tel	telephone
telecomm	telecommunications
telegr	telegraphy
teleph	telephony
teratol	teratology
terminol	terminology
terrestr	terrestrial
textbk	textbook
TGIF	thank god it's Friday
theat	theatrical
theatr	theatrical
theol	theology
theoret	theoretical
thermonucl	thermonuclear
thes	thesaurus
thess	thessalonians
thru	through
thurs	thursday
thx	thanks
tim	timothy
tit	titus
tnx	thanks
topogr	topography
trad	traditional
trag	tragedy
trans	transitive
transl	translation
transubstant	transubstantiation
trav	travel
treas	treasury
treatm	treatment
trib	tribune
trig	trigonometry
trigonom	trigonometry
trop	tropical
troub	troublesome
troubl	troublesome
tsp	teaspoon
ttyl	talk to you later
tues	tuesday
ty	thank you
typog	typography
typogr	typography
tyvm	thank you very much
u	you
u	you
ult	ultimate
uni	university
unkn	unknown
unnat	unnatural
unoffic	unofficial
unstr	unstressed
ur	your
urin	urinary
usu	usually
util	utility
utilit	utilitarian
v	versus
valedict	valediction
varr	variants
vars	variants
vb	verb
vbl	verbal
vbs	verbs
vec	vector
veg	vegetable
veggies	vegetables
venet	venetian
vertebr	vertebrate
vic	victoria
vict	victoria
vind	vindication
vindic	vindication
virg	virgin
virol	virology
viz	videlicet
vocab	vocabulary
vol	volume
vols	volumes
voy	voyage
vs	versus
vulg	vulgar
weds	wednesday
westm	westminster
wiltsh	wiltshire
wisd	wisdom
wk	work
wkly	weekly
wks	weeks
wonderf	wonderful
writ	writing
wt	weight
wtf	what the fuck
wth	what the heck
xfer	transfer
xlat	translate
xmit	transmit
xpar	transparent
xpos	transposition
yd	yard
yearbk	yearbook
yng	young
yorks	yorkshire
yorksh	yorkshire
yr	year
yrs	years
zech	zechariah
zeitschr	zeitschrift
zeph	zephaniah
zoogeogr	zoogeography
zool	zoology
aren't	are not
can't	cannot
couldn't	could not
didn't	did not
doesn't	does not
don't	do not
hadn't	had not
hasn't	has not
haven't	have not
he'd	he would
he'll	he will
he's	he is
here's	here is
how's	how is
i'd	i would
i'll	i will
i'm	i am
i've	i have
isn't	is not
it's	it is
let's	let us
mustn't	must not
shan't	shall not
she'd	she would
she'll	she will
shouldn't	should not
weren't	were not
wasn't	was not
wouldn't	would not
mia.	missing in action
vegan	vegetarian
nyc	new york city
lax	los angeles
ya'll	you all
yall	you all
xoxo	kisses
dm	direct message
dm'd	direct messaged
rt	retweet
avail	available
avail.	available
mia.	missing in action
1st	first
2nd	second
3rd	third
4th	fourth
5th	fifth
6th	sixth
7th	seventh
8th	eighth
9th	nineth
10th	tenth
